Latitude,Longitude,Company
"29° 36' 52.30"" S","52° 10' 19.40"" W",Mobile-1
"29° 09' 58.00"" S","51° 30' 49.00"" W",Mobile-1
"30° 03' 10.69"" S","51° 12' 04.25"" W",Mobile-1
"27° 11' 01.32"" S","53° 42' 04.44"" W",Mobile-1
"29° 10' 28.20"" S","51° 30' 36.20"" W",Mobile-1
"30° 02' 35.81"" S","51° 11' 41.50"" W",Mobile-1
"29° 40' 33.50"" S","51° 06' 45.10"" W",Mobile-1
"30° 04' 44.22"" S","51° 14' 21.84"" W",Mobile-1
"29° 45' 50.60"" S","51° 08' 21.50"" W",Mobile-1
"27° 20' 59.10"" S","53° 23' 28.80"" W",Mobile-1
"30° 02' 43.12"" S","51° 12' 50.94"" W",Mobile-1
"31° 22' 39.50"" S","51° 58' 28.46"" W",Mobile-1
"29° 56' 30.70"" S","50° 06' 45.60"" W",Mobile-1
"29° 48' 56.00"" S","51° 26' 29.55"" W",Mobile-1
"29° 40' 08.40"" S","51° 06' 11.22"" W",Mobile-1
"31° 45' 04.28"" S","52° 18' 46.80"" W",Mobile-1
"29° 15' 23.40"" S","51° 32' 47.10"" W",Mobile-1
"29° 52' 49.10"" S","51° 23' 15.00"" W",Mobile-1
"28° 34' 49.50"" S","53° 49' 01.50"" W",Mobile-1
"28° 30' 49.23"" S","50° 57' 15.10"" W",Mobile-1
"30° 03' 43.67"" S","51° 13' 43.08"" W",Mobile-1
"29° 59' 52.98"" S","53° 40' 12.00"" W",Mobile-1
"29° 19' 48.70"" S","49° 44' 39.50"" W",Mobile-1
"30° 59' 10.33"" S","54° 39' 49.10"" W",Mobile-1
"28° 37' 32.97"" S","53° 36' 54.63"" W",Mobile-1
"28° 40' 20.00"" S","50° 26' 20.00"" W",Mobile-1
"29° 13' 44.01"" S","51° 19' 09.42"" W",Mobile-1
"32° 02' 46.50"" S","52° 07' 31.60"" W",Mobile-1
"30° 01' 26.18"" S","51° 12' 00.54"" W",Mobile-1
"29° 46' 26.60"" S","57° 05' 13.40"" W",Mobile-1
"27° 37' 02.00"" S","54° 18' 43.10"" W",Mobile-1
"29° 37' 30.40"" S","50° 51' 03.60"" W",Mobile-1
"30° 02' 09.82"" S","51° 07' 08.40"" W",Mobile-1
"30° 17' 50.35"" S","51° 19' 03.39"" W",Mobile-1
"28° 16' 11.40"" S","52° 25' 36.40"" W",Mobile-1
"28° 17' 36.32"" S","52° 44' 25.35"" W",Mobile-1
"28° 43' 32.10"" S","54° 55' 22.60"" W",Mobile-1
"29° 29' 15.00"" S","51° 57' 01.20"" W",Mobile-1
"30° 05' 32.78"" S","51° 07' 43.68"" W",Mobile-1
"29° 56' 46.15"" S","50° 07' 00.80"" W",Mobile-1
"27° 33' 09.60"" S","53° 51' 51.70"" W",Mobile-1
"29° 08' 16.20"" S","51° 11' 33.90"" W",Mobile-1
"29° 10' 37.49"" S","51° 09' 31.23"" W",Mobile-1
"29° 37' 58.25"" S","50° 49' 01.10"" W",Mobile-1
"31° 42' 17.00"" S","52° 19' 55.00"" W",Mobile-1
"31° 18' 34.40"" S","54° 07' 17.50"" W",Mobile-1
"29° 29' 18.00"" S","51° 21' 18.00"" W",Mobile-1
"28° 38' 03.00"" S","56° 01' 25.96"" W",Mobile-1
"29° 48' 25.37"" S","51° 08' 23.86"" W",Mobile-1
